Azer,Eng
və,and
redaktə,editing
bir,a
ilə,with
əsas,primary
ci,th
tarixi,historic
bu,this
http,http
ildə,in
of,of
com,com
isə,and
sonra,after
ki,that
üçün,for
da,also
də,also
olan,being
az,little
www,www
kimi,as
edir,is
çox,many
tərəfindən,by
the,the
ın,s
ə,the
görə,according to
xan,khan
onun,his
idi,It was
ən,most
il,year
olaraq,in
cü,th
ing,ing
and,oath
s,s
böyük,great
dili,English
haqqında,about
o,he
ilk,first
zaman,time
öz,her
cu,th
ABŞ,US
may,May
daha,more
baş,head
cı,th
edən,the
yaxşı,good
olur,is
in,s
bütün,all
avqust,August
istifadə,use
onu,it
ya,or
html,html
iki,two
ilin,year
film,movie
dəfə,time
digər,other
dekabr,December
etmək,do
qədər,to
on,ten
oktyabr,October
arasında,between
noyabr,November
sentyabr,September
и,и
saytında,website
biri,one of
ona,her
hər,each
etmişdir,has
a,a
adı,title
qan,blood
filmi,film
ISBN,ISBN
yanvar,January
olduğu,The
iyun,June
de,de
daxil,access
olmuşdur,was
org,org
var,there
səh,p
